row,string_id,speaker,source_speaker_key,category,attribution_confidence,attribution_basis,text,raw_text
1,3699562844168,Shipwright,SHIPWRIGHT_NAME_KEY,character speech,explicit,explicit speaker label,What'll it be?,SHIPWRIGHT_NAME_KEY: What'll it be?
2,5797928897679360,Narrator / scene text,,narration,inferred,third-/second-person scene description,You enter a squalid shack on the fringe of the marketplace. The familiar smell of fish fills the air. Flies buzz haphazardly around a downcast man behind the counter.,You enter a squalid shack on the fringe of the marketplace. The familiar smell of fish fills the air. Flies buzz haphazardly around a downcast man behind the counter.
3,5797928922845184,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,"You're the new fisherman, eh? Surprised they found a new one so fast.","FISHMONGER_NAME_KEY: You're the new fisherman, eh? Surprised they found a new one so fast."
4,5797928922845185,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",What happened to the other one?,What happened to the other one?
5,5797928922845186,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,He...it takes a certain type of person to last out here. It's not a life for everyone.,FISHMONGER_NAME_KEY: He...it takes a certain type of person to last out here. It's not a life for everyone.
6,5797928922845187,Player (choice),,player option,inferred,"first-person, question or response text without NPC label",What's your name?,What's your name?
7,5797928922845188,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,"There's no sense getting familiar. You'll be on your way like the rest of them soon, no doubt.","FISHMONGER_NAME_KEY: There's no sense getting familiar. You'll be on your way like the rest of them soon, no doubt."
8,5797928922845189,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,"Anyway, to business. I'll pay you for fish. [C1]Bigger and fresher means more money[/C1]. Some species are just worth more, too.","FISHMONGER_NAME_KEY: Anyway, to business. I'll pay you for fish. [C1]Bigger and fresher means more money[/C1]. Some species are just worth more, too."
9,5797928922845190,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,"Other towns on other islands might pay you different...but while you've still got a debt outstanding here, I'd suggest you work on paying it off first.","FISHMONGER_NAME_KEY: Other towns on other islands might pay you different...but while you've still got a debt outstanding here, I'd suggest you work on paying it off first."
10,5797928922845191,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,"So, let's see what you've got.","FISHMONGER_NAME_KEY: So, let's see what you've got."
11,5797928922845192,Fishmonger,FISHMONGER_NAME_KEY,character speech,explicit,explicit speaker label,What've you got for me today?,FISHMONGER_NAME_KEY: What've you got for me today?
12,5797928922845193,Narrator / scene text,,narration,inferred,third-/second-person scene description,"The morning light fills your eyes, and you try to sit upright. You're lying on the cold, wet dock where you collapsed the night before.","The morning light fills your eyes, and you try to sit upright. You're lying on the cold, wet dock where you collapsed the night before."
