game,file,ref,speaker,text,trigger_or_notes
O1,D1_AMBIENT,100.10,MALE_PEASANT,Thank you for freeing us!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,100.20,MALE_PEASANT,"Remember, Sire, never trust anything that’s head-height with your groin!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,100.30,MALE_PEASANT,I can’t get rid of the Halfling stench!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,100.40,MALE_PEASANT,I’m gonna name a pumpkin after you!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,100.50,MALE_PEASANT,I wanna be just like you!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,100.60,MALE_PEASANT,Those ‘orrible Halflings stole our food!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,100.70,MALE_PEASANT,You’re the best kind of hero...one with their own army!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,101.10,FEMALE_PEASANT,"Do you have a lady-friend, you big heroic hunk, you?",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,101.20,FEMALE_PEASANT,"Is that a pumpkin in your pocket, or are you just pleased to see me?",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,101.30,FEMALE_PEASANT,"That Melvin always used to be teased for being so small. Well, he ain’t so small now!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,101.40,FEMALE_PEASANT,That Melvin’s eaten us out of our homes!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,101.50,FEMALE_PEASANT,Nice creatures you got there! Do they come in pink?,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,101.60,FEMALE_PEASANT,That’s what a real hero looks like!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,101.70,FEMALE_PEASANT,I think I love you!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,102.10,VILLAGE_GUARD,You and your creatures saved us some work!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,102.20,VILLAGE_GUARD,Only good Halfling’s a dead Halfling!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,102.30,VILLAGE_GUARD,Ahhh I smell roasted Halfling on the breeze!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,102.40,VILLAGE_GUARD,"Those Halflings might be half the size, but they’re twice the trouble!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,102.50,VILLAGE_GUARD,You'd better go sort out that Melvin!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,102.60,VILLAGE_GUARD,"Halflings’ll eat anything not nailed down! Ha even then, they’d just eat the nails!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,102.70,VILLAGE_GUARD,"Hey, are those creatures for sale?",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,200.10,MALE_PEASANT,Hey watch it!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,200.20,MALE_PEASANT,Be careful with those things!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,200.30,MALE_PEASANT,You’re worse than the Halflings!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,200.40,MALE_PEASANT,Don’t you go messing up our village!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,200.50,MALE_PEASANT,We’ve got rights you know!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,200.60,MALE_PEASANT,I thought you were on our side!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,200.70,MALE_PEASANT,"Hey, what you got against us?!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,201.10,FEMALE_PEASANT,"You ain’t too big to go over my knee, you know!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,201.20,FEMALE_PEASANT,I’d just got things nice and tidy!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,201.30,FEMALE_PEASANT,Don’t you go getting me angry!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,201.40,FEMALE_PEASANT,"Ohhh, you’re gonna feel the back of my hand, sonny!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,201.50,FEMALE_PEASANT,Those dirty creatures are all over my things!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,201.60,FEMALE_PEASANT,I’m getting my frying pan!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,201.70,FEMALE_PEASANT,That ain’t very heroic!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,201.80,FEMALE_PEASANT,Get out of it!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,202.10,VILLAGE_GUARD,Hey that ain’t nice!,Note: When the player/Minions destroy or loot objects. Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,202.20,VILLAGE_GUARD,Don’t make me go and get the boys!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,202.30,VILLAGE_GUARD,Control those things!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,202.40,VILLAGE_GUARD,Why’d you bother saving us?,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,202.50,VILLAGE_GUARD,Stop that!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,202.60,VILLAGE_GUARD,"Oh great, more mess to clean up!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,202.70,VILLAGE_GUARD,You’re wrecking the place!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,202.80,VILLAGE_GUARD,Bloody heroes! No respect for other people!,Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,202.90,VILLAGE_GUARD,"Oi, stop oppressing us!",Trigger: Various points throughout this area (designers to decide.)
O1,D1_AMBIENT,300.10,MALE_PEASANT,"Right, that’s it!",Note: When the player/Minions loot and destroy a lot of objects or kill a lot of peasants Trigger: When the male villagers and guards attack. Initiating attack line (not during).
